id,fecha_movimiento,count_items,CATEGORY,tipo,COD,NUM,DET,costo_unitario,pvp_unitario,costo_total,pvp_total,utilidad_total,proveedor
3819,2023-03-20,1,plata,aretes,AR,285,,0.5,3.0,0.5,3.0,2.5,BODY JEWELZ
3820,2023-03-20,1,plata,aretes,AR,333,,18.9,37.9,18.9,37.9,19.0,ALINA PAZ
3821,2023-03-20,1,plata,pulseras,PPL,33,,6.48,18.25,6.48,18.25,11.77,ALPHA TRADING
3822,2023-03-20,1,plata,pulseras,PPL,34,,6.96,18.9,6.96,18.9,11.939999999999998,ALPHA TRADING
3823,2023-03-20,1,plata,pulseras,PPL,171,,27.4,68.5,27.4,68.5,41.1,SOLEDAD SAENZ
3824,2023-03-23,1,plata,anillos,AP,76,T8,15.96,45.0,15.96,45.0,29.04,CHINA
3825,2023-03-23,1,plata,anillos,AP,154,T6,4.8,21.6,4.8,21.6,16.8,ANDRES CADAVID
3826,2023-03-23,1,plata,aretes,AR,19,,2.52,10.75,2.52,10.75,8.23,LX USA
3827,2023-03-23,1,plata,aretes,AR,31,,6.25,17.4,6.25,17.4,11.149999999999999,FLAVIO JARA
3828,2023-03-23,1,plata,cadenas,CP,35,,3.08,11.75,3.08,11.75,8.67,SOLEDAD SAENZ
3829,2023-03-23,1,plata,cadenas,CP,61,,6.0,16.5,6.0,16.5,10.5,SOLEDAD SAENZ
3830,2023-03-23,1,plata,collares,CLP,62,,8.0,23.8,8.0,23.8,15.8,CIRKON
3831,2023-03-28,1,plata,anillos,AP,16,T6,4.0,16.0,4.0,16.0,12.0,SOLEDAD SAENZ
3832,2023-03-28,1,plata,aretes,AR,117,,4.08,12.75,4.08,12.75,8.67,XAVIER GUILLEN
3833,2023-03-28,1,plata,aretes,AR,232,,2.1,9.7,2.1,9.7,7.6,BODY JEWELZ
3834,2023-03-28,2,plata,pulseras,PV,9,,2.5,5.5,5.0,11.0,6.0,ZULENIS
3835,2023-03-31,1,plata,anillos,AP,152,T6,5.52,22.4,5.52,22.4,16.88,ANDRES CADAVID
3836,2023-03-31,1,plata,anillos,AP,154,T6,4.8,21.6,4.8,21.6,16.8,ANDRES CADAVID
3837,2023-03-31,1,plata,aretes,AR,112,,5.25,16.4,5.25,16.4,11.149999999999999,ANDRES CADAVID
3838,2023-03-31,1,plata,aretes,AR,264,,7.208,19.7,7.208,19.7,12.491999999999999,MILANUS USA
3839,2023-03-31,1,plata,pulseras,PPL,172,,13.6,33.8,13.6,33.8,20.199999999999996,SOLEDAD SAENZ
3840,2023-03-31,1,plata,cadenas,CP,11,,8.48,21.4,8.48,21.4,12.919999999999998,MIAMI
3841,2023-03-31,1,plata,cadenas,CP,106,,25.3,52.8,25.3,52.8,27.499999999999996,VOGA
3842,2023-03-31,1,plata,collares,CLP,68,,5.46,18.7,5.46,18.7,13.239999999999998,SOLEDAD SAENZ
3843,2023-03-31,1,plata,pulseras,PV,18,,3.0,9.5,3.0,9.5,6.5,ZULENIS
3844,2023-04-01,1,plata,anillos,AP,151,T5,4.08,19.25,4.08,19.25,15.17,ANDRES CADAVID
3845,2023-04-01,2,plata,aretes,AR,1,,1.2,7.8,2.4,15.6,13.2,SOLEDAD SAENZ
3846,2023-04-01,1,plata,aretes,AR,2,,1.2,8.7,1.2,8.7,7.499999999999999,CIRKON
3847,2023-04-01,1,plata,aretes,AR,49,,7.0,19.75,7.0,19.75,12.75,SOLEDAD SAENZ
3848,2023-04-01,1,plata,aretes,AR,88,,3.3,13.5,3.3,13.5,10.2,ALPHA TRADING
3849,2023-04-01,1,plata,aretes,AR,294,,8.0,19.8,8.0,19.8,11.8,LX USA
3850,2023-04-01,1,plata,aretes,AR,345,,7.2,19.85,7.2,19.85,12.650000000000002,ANDRES CADAVID
3851,2023-04-01,1,plata,aretes,AR,361,,19.2,45.7,19.2,45.7,26.500000000000004,CHINA
3852,2023-04-01,2,plata,aretes,AR,380,,0.6,3.8,1.2,7.6,6.3999999999999995,CIRKON
3853,2023-04-01,1,plata,juegos,JP,53,,11.55,32.8,11.55,32.8,21.249999999999996,LX USA
3854,2023-04-01,1,plata,dijes,DP,91,,5.88,17.5,5.88,17.5,11.620000000000001,XAVIER GUILLEN
3855,2023-04-04,1,plata,anillos,AP,151,T6,4.5,19.25,4.5,19.25,14.75,ANDRES CADAVID
3856,2023-04-04,1,plata,anillos,AP,152,T6,5.52,22.4,5.52,22.4,16.88,ANDRES CADAVID
